,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days,success
309,0.4721210008375599,0.005233695443109818,0.7476366034320717,0.018497234936785022,0.2818798002478735,0.9081183894161883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5561024893558476,0.12301633888855486,0.41317607111870625,0.0,0.3101848307157483,MA,-0.030000000000000027,0.1413603636126084,21,False
310,0.47508939525870847,0.00440677799265987,0.7592439148061585,0.015860816791620658,0.204462430705084,0.8410860225426103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5775233442608924,0.07231527094051035,0.3474109171259195,0.0,0.3101848307157483,MA,-0.023114076869526934,0.1335864965375737,21,False
311,0.4775182439898461,0.0037282417338591156,0.7705736430308784,0.013006224464238544,0.2506340557105743,0.822658818869074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931379886638042,0.06309810239383198,0.33545518259443113,0.0,0.3101848307157483,MA,-0.02150355787707503,0.1321581051874644,21,False
312,0.48014576096009376,0.00299212502037888,0.7818428383928301,0.01025268111750967,0.27446399699397145,0.8273379078813212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047551198215945,0.07404374766573565,0.3496529515170664,0.0,0.3101848307157483,MA,-0.023415504064332016,0.13385383644462545,21,False
313,0.4839374339275703,0.0019268613598632906,0.7932011233741844,0.008140914640735578,0.3061433497873392,0.8621293597024076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6193924901125952,0.1120693196287936,0.3989765199747748,0.0,0.3101848307157483,MA,-0.030000000000000027,0.13969371606319403,21,False
314,0.4874507797146894,0.0009370127434918514,0.8044016514800789,0.005881453516581793,0.2595148043576576,0.8518790116794689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338915230203065,0.11034038490761644,0.3967338915098634,0.0,0.3101848307157483,MA,-0.030000000000000027,0.13942989965548336,21,False
315,0.49022223125075265,0.00015399177631505745,0.8153453219470865,0.0032479828307445655,0.24444612709072133,0.8272447761664785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6496373040519471,0.0953620852728056,0.37730530308165,0.0,0.3101848307157483,MA,-0.030000000000000027,0.13713758528244768,21,False
316,0.4907657526095217,0.0,0.8252446393326612,0.0,0.19508964262795325,0.7564480228932181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682566064764955,0.03774756841981074,0.3025726055980391,0.0,0.3101848307157483,MA,-0.030000000000000027,0.1282051135190969,21,False
317,1.0,0.7898491658972331,0.9559166099003763,0.11256701906694878,0.15959922287903064,0.5723087854724713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615476890302577,0.24173255364028792,0.0,0.08405778437454858,0.39423793818797565,MA,-0.030000000000000027,0.10939747635342345,21,False
318,0.9851314783005718,0.7939205471877895,0.9430187134805714,0.1253391058570815,0.05111413917889236,0.4101330941467775,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6523601828918297,0.48868430922500017,0.12493967065255485,0.1901937792530007,0.6497240968424571,MA,0.006369855388057122,0.07129023027803782,21,True
319,0.9635315697943775,0.7998522484847872,0.9108027997478603,0.15621413505373277,0.07690057278078619,0.292671124515082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62589471759841,0.6700761234023337,0.3602258505142433,0.1901937792530007,0.6497240968424571,MA,0.039025279113093836,0.041154777705128764,21,True
320,0.9397198276611773,0.8064102015099434,0.8705176267769101,0.19425262372638072,0.1851581436648609,0.2526302320857811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928523460318381,0.7343610520577626,0.443610844234137,0.1901937792530007,0.6497240968424571,MA,0.05111283584177695,0.029999999999999916,21,True
321,0.9276650301988502,0.8097397338051759,0.8635910013365702,0.2012878012642349,0.6541806198984439,0.45826864626074726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5693165642039034,0.42312689760482725,0.38967009355072585,0.4389290066859069,0.6497240968424571,MA,-0.0049329350432809616,0.0581343823263788,21,False
322,0.9211223545578039,0.811551997212613,0.8664110932175846,0.20082296060492785,0.4055834680326027,0.5548771294259195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5577402433264387,0.2741942771134319,0.5828529419120816,0.4389290066859069,0.6497240968424571,MA,-0.029690413556443085,0.08156819760681433,21,False
323,0.9145813561165729,0.8133689726186106,0.8691698151295439,0.20039508081681282,0.26314080745016266,0.5542073400460225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494287132613577,0.2722837818152725,0.5853310754617477,0.4389290066859069,0.6497240968424571,MA,-0.030000000000000027,0.0890782941979934,21,False
324,0.9040075677963407,0.8163145549229952,0.8649782878178132,0.2051888660737211,0.16685913877622974,0.4816967721334268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5323604855599149,0.38112129891739,0.4441562173749689,0.4389290066859069,0.6497240968424571,MA,-0.02117892904559371,0.0722146363327093,21,False
325,0.8857797963397274,0.8214067632980468,0.8416076982172883,0.22663475835418512,0.0632569054825328,0.3437724670317062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5067936488799477,0.31683687621940054,0.17006716512875142,0.4389290066859069,0.5920271577894675,MA,0.015313713507080218,0.037624719292100206,21,True
